cfg	dataset	mode	kernel	new_cyc	share_of_new_total_pct
single	small_SRR7963242	PE	DEDUP_REDUNDANCY	2.000e+10	0.9
single	small_SRR7963242	PE	DEDUP_SORT_SCORE	9.700e+10	4.6
single	small_SRR7963242	PE	MEM_COLLECT_FIRST	9.200e+10	4.4
single	small_SRR7963242	PE	MEM_COLLECT_SPLIT	1.030e+11	4.9
single	small_SRR7963242	PE	MEM_COLLECT_LAST	5.700e+10	2.7
single	small_SRR7963242	PE	MEM_COLLECT_SORT	5.607e+09	0.3
single	small_SRR7963242	PE	CHAIN_BUILD_REPETITIVE	4.310e+08	0.0
single	small_SRR7963242	PE	CHAIN_BUILD_SA	2.110e+11	10.0
single	small_SRR7963242	PE	CHAIN_BUILD_RID	1.800e+10	0.9
single	small_SRR7963242	PE	CHAIN_BUILD_TREE_SEARCH	8.904e+09	0.4
single	small_SRR7963242	PE	CHAIN_BUILD_MERGE	2.609e+09	0.1
