cfg	dataset	mode	variant	kernel	cycle_avg
single	ERR1203383	SE	old_p	PAIRING	0
single	ERR1203383	SE	old_p	SAM_FORMAT	27000000000
single	ERR1203383	SE	old_p	SAM_COPY	3275000000
single	SRR2496709	PE	new_p	WORKER_ALIGNMENT	666000000000
single	SRR2496709	PE	new_p	MEM_CHAIN	342000000000
single	SRR2496709	PE	new_p	CHAIN_FILTER	20000000000
single	SRR2496709	PE	new_p	CHAIN_EXTENSION	92000000000
single	SRR2496709	PE	new_p	ALIGNMENT_FINALIZE	9452000000
single	SRR2496709	PE	new_p	MATE_RESCUE	143000000000
single	SRR2496709	PE	new_p	PAIRING	4715000000
single	SRR2496709	PE	new_p	SAM_FORMAT	198000000000
single	SRR2496709	PE	new_p	SAM_COPY	5659000000
single	SRR2496709	PE	new_p	MEM_CHAIN_COLLECT	203000000000
single	SRR2496709	PE	new_p	MEM_CHAIN_BUILD	135000000000
single	SRR2496709	PE	new_p	CHAIN_EXTENSION_DP	66000000000
single	SRR2496709	PE	new_p	MATE_REF_FETCH	1759000000
single	SRR2496709	PE	new_p	MATE_KSW_ALIGN	110000000000
single	SRR2496709	PE	new_p	KSW_QUERY_INIT_FORWARD	3393000000
single	SRR2496709	PE	new_p	KSW_DP_FORWARD	91000000000
single	SRR2496709	PE	new_p	KSW_QUERY_INIT_REVERSE	1284000000
single	SRR2496709	PE	new_p	KSW_DP_REVERSE	12000000000
single	SRR2496709	PE	new_p	MATE_DEDUP	21000000000
single	SRR2496709	PE	new_p	DEDUP_SORT_END	7250000000
single	SRR2496709	PE	new_p	DEDUP_REDUNDANCY	2000000000
single	SRR2496709	PE	new_p	DEDUP_SORT_SCORE	12000000000
single	SRR2496709	PE	new_p	MEM_COLLECT_FIRST	84000000000
single	SRR2496709	PE	new_p	MEM_COLLECT_SPLIT	60000000000
single	SRR2496709	PE	new_p	MEM_COLLECT_LAST	53000000000
single	SRR2496709	PE	new_p	MEM_COLLECT_SORT	4768000000
single	SRR2496709	PE	new_p	CHAIN_BUILD_REPETITIVE	644000000
single	SRR2496709	PE	new_p	CHAIN_BUILD_SA	96000000000
single	SRR2496709	PE	new_p	CHAIN_BUILD_RID	9422000000
single	SRR2496709	PE	new_p	CHAIN_BUILD_TREE_SEARCH	2318000000
single	SRR2496709	PE	new_p	CHAIN_BUILD_MERGE	1035000000
single	SRR2496709	PE	new_p	CHAIN_BUILD_INSERT	16000000000
single	SRR2496709	PE	new_p	CHAIN_BUILD_FINALIZE	6858000000
single	SRR2496709	PE	old_p	WORKER_ALIGNMENT	839000000000
single	SRR2496709	PE	old_p	MEM_CHAIN	373000000000
single	SRR2496709	PE	old_p	CHAIN_FILTER	24000000000
single	SRR2496709	PE	old_p	CHAIN_EXTENSION	98000000000
single	SRR2496709	PE	old_p	ALIGNMENT_FINALIZE	21000000000
single	SRR2496709	PE	old_p	MATE_RESCUE	256000000000
single	SRR2496709	PE	old_p	PAIRING	5709000000
single	SRR2496709	PE	old_p	SAM_FORMAT	312000000000
single	SRR2496709	PE	old_p	SAM_COPY	5589000000
single	SRR2496709	SE	new_p	WORKER_ALIGNMENT	261000000000
single	SRR2496709	SE	new_p	MEM_CHAIN	174000000000
single	SRR2496709	SE	new_p	CHAIN_FILTER	9760000000
single	SRR2496709	SE	new_p	CHAIN_EXTENSION	43000000000
single	SRR2496709	SE	new_p	ALIGNMENT_FINALIZE	4720000000
single	SRR2496709	SE	new_p	MATE_RESCUE	0
single	SRR2496709	SE	new_p	PAIRING	0
single	SRR2496709	SE	new_p	SAM_FORMAT	26000000000
single	SRR2496709	SE	new_p	SAM_COPY	3225000000
single	SRR2496709	SE	new_p	MEM_CHAIN_COLLECT	102000000000
single	SRR2496709	SE	new_p	MEM_CHAIN_BUILD	70000000000
single	SRR2496709	SE	new_p	CHAIN_EXTENSION_DP	30000000000
single	SRR2496709	SE	new_p	MATE_REF_FETCH	0
single	SRR2496709	SE	new_p	MATE_KSW_ALIGN	0
single	SRR2496709	SE	new_p	KSW_QUERY_INIT_FORWARD	0
single	SRR2496709	SE	new_p	KSW_DP_FORWARD	0
single	SRR2496709	SE	new_p	KSW_QUERY_INIT_REVERSE	0
single	SRR2496709	SE	new_p	KSW_DP_REVERSE	0
single	SRR2496709	SE	new_p	MATE_DEDUP	0
